id;titulo;ano;diretor;duracao;generos;pais;orcamento;receita;nota_imdb;ator_1;ator_2;ator_3
tt0036749;Dead Man's Eyes;1944;Reginald Le Borg;64;Crime| Drama| Film-Noir;USA;NA;NA;6,1;Lon Chaney Jr.; Jean Parker; Paul Kelly
tt0036753;Delinquent Daughters;1944;Albert Herman;72;Crime| Drama;USA;NA;NA;3,2;June Carlson; Fifi D'Orsay; Teala Loring
tt0036755;Il canto del deserto;1943;Robert Florey;95;Adventure| Musical| War;USA;1148000;NA;6,0;Dennis Morgan; Irene Manning; Bruce Cabot
tt0036757;Destiny;1944;Reginald Le Borg, Julien Duvivier;65;Crime| Drama| Fantasy;USA;NA;NA;6,3;Gloria Jean; Alan Curtis; Frank Craven
tt0036758;Adventures of Kitty O'Day;1945;William Beaudine;63;Comedy| Crime| Mystery;USA;NA;NA;5,2;Jean Parker; Peter Cookson; Tim Ryan
tt0036774;Double Exposure;1944;William Berke;63;Comedy| Crime;USA;NA;NA;6,1;Chester Morris; Nancy Kelly; Jane Farrar
tt0036775;La fiamma del peccato;1944;Billy Wilder;107;Crime| Drama| Film-Noir;USA;927262;13886;8,3;Fred MacMurray; Barbara Stanwyck; Edward G. Robinson
tt0036776;Ragazze indiavolate;1944;James V. Kern;102;Comedy;USA;NA;NA;6,3;Ann Sheridan; Alexis Smith; Jack Carson
tt0036777;La stirpe del drago;1944;Harold S. Bucquet, Jack Conway;148;Drama| History| War;USA;3000000;NA;6,1;Katharine Hepburn; Walter Huston; Aline MacMahon
tt0036791;Enemy of Women;1944;Alfred Zeisler;72;Drama| War;USA;NA;NA;5,2;Claudia Drake; Wolfgang Zilzer; Donald Woods
tt0036803;The Eve of St. Mark;1944;John M. Stahl;96;War| Drama;USA;NA;NA;5,9;Anne Baxter; William Eythe; Michael O'Shea
tt0036807;Schiava del male;1944;Jacques Tourneur;91;Film-Noir| Romance| Thriller;USA;NA;NA;6,4;Hedy Lamarr; George Brent; Paul Lukas
tt0036809;The Falcon Out West;1944;William Clemens;64;Crime| Drama| Mystery;USA;NA;NA;6,1;Tom Conway; Carole Gallagher; Barbara Hale
tt0036810;The Falcon in Hollywood;1944;Gordon Douglas;67;Crime| Mystery| Drama;USA;NA;NA;6,6;Tom Conway; Barbara Hale; Veda Ann Borg
tt0036811;The Falcon in Mexico;1944;William Berke;70;Crime| Mystery;USA;NA;NA;6,3;Tom Conway; Mona Maris; Martha Vickers
tt0036824;I conquistatori dei sette mari;1944;Edward Ludwig;100;Drama| Romance| War;USA;1500000;NA;6,6;John Wayne; Susan Hayward; Dennis O'Keefe
tt0036832;La nave della morte;1944;A. Edward Sutherland, John Rawlins;122;Comedy| Drama| Musical;USA;NA;NA;5,9;George Raft; Vera Zorina; Grace McDonald
tt0036833;Follow the Leader;1944;William Beaudine;65;Action| Adventure| Comedy;USA;85000;NA;4,8;Leo Gorcey; Huntz Hall; Gabriel Dell
tt0036835;Forty Thieves;1944;Lesley Selander;60;Action| Adventure| Drama;USA;NA;NA;6,7;William Boyd; Andy Clyde; Jimmy Rogers
tt0036836;Four Jills in a Jeep;1944;William A. Seiter;89;Comedy| Drama| Music;USA;NA;NA;6,4;Kay Francis; Carole Landis; Martha Raye
tt0036840;L'avventura viene dal mare;1944;Mitchell Leisen;110;Adventure| Drama| Romance;USA;NA;NA;6,2;Joan Fontaine; Arturo de Córdova; Basil Rathbone
tt0036845;Gambler's Choice;1944;Frank McDonald;66;Crime| Drama;USA;NA;NA;6,0;Chester Morris; Nancy Kelly; Russell Hayden
tt0036855;Angoscia;1944;George Cukor;114;Crime| Drama| Mystery;USA;NA;NA;7,8;Charles Boyer; Ingrid Bergman; Joseph Cotten
tt0036859;Gentle Annie;1944;Andrew Marton;80;Romance| Western;USA;NA;NA;6,1;James Craig; Donna Reed; Marjorie Main
tt0036861;Caccia al fantasma;1944;Edward F. Cline;68;Comedy| Horror| Music;USA;NA;NA;5,9;Ole Olsen; Chic Johnson; Gloria Jean
tt0036864;Gildersleeve's Ghost;1944;Gordon Douglas;63;Adventure| Comedy| Fantasy;USA;NA;NA;5,9;Harold Peary; Marion Martin; Richard LeGrand
tt0036865;Girl Rush;1944;Gordon Douglas;65;Comedy| Western| Musical;USA;NA;NA;5,2;Wally Brown; Alan Carney; Frances Langford
tt0036866;The Girl Who Dared;1944;Howard Bretherton;56;Mystery| Romance;USA;NA;NA;6,0;Lorna Gray; Peter Cookson; Grant Withers
